ticker	date	kind	summary	url
GS	2025-07-25	ai	GS AI platform firmwide to 46,000 staff; one million prompts a month; Devin agentic AI in developer teams	https://www.americanbanker.com/news/goldman-sachs-staff-now-write-a-million-gen-ai-prompts-a-month
GS	2025-10-14	workforce	OneGS 3.0 memo: "limited reduction in roles" and constrained headcount growth in AI-driven overhaul	https://nypost.com/2025/10/14/business/goldman-sachs-warns-of-looming-layoffs-as-ai-reshapes-operations/
WFC	2025-08-05	ai	Rolling out Google agentic AI (Agentspace, Gemini Deep Research, NotebookLM) to all 215,000 employees	https://www.americanbanker.com/news/wells-fargo-plans-to-unleash-googles-agentic-ai-bank-wide
WFC	2026-07-15	ai	Launched AI Teammate in Advisor Gateway for advisors and support teams	https://newsroom.wf.com/news-releases/news-details/2026/Wells-Fargo-introduces-AI-Teammate-bringing--AI-powered-support-to-the-advisor-experience/default.aspx
WFC	2026-07-15	workforce	Headcount down 24 straight quarters to 197k; CFO: tech and AI help run the company with less headcount	https://www.charlotteobserver.com/news/business/article316519034.html
WFC	2026-08-05	workforce	Scharf on CNBC: AI automation "going to result in tens of thousands of fewer positions" at the bank	https://247wallst.com/investing/2026/08/05/wells-fargos-ceo-says-ai-will-erase-tens-of-thousands-of-jobs-heres-why-hes-still-not-worried-about-your-wallet/
C	2025-09-22	ai	Citi Stylus Workspaces upgraded with agentic AI; phased rollout starting with thousands of employees	https://www.citigroup.com/global/news/press-release/2025/citi-unveils-citi-stylus-workspaces-agentic-ai-turbocharging-productivity
C	2026-04-30	ai	Launched Arc, an internal platform to build and scale governed AI agents; 180k staff already use Citi AI tools	https://www.citigroup.com/global/news/perspectives/2026/introducing-ai-agents-next-phase-citi-artificial-intelligence-journey
C	2026-01-14	workforce	Fraser memo: ~1,000 cuts proceeding within a multiyear overhaul that could eliminate up to 20,000 roles	https://fortune.com/2026/01/14/citigroup-ceo-jane-fraser-job-cuts-ai-bad-old-ways-restructuring/
C	2026-07-15	workforce	~$800M severance in H1 2026, headcount down 5% YoY to 219k; more severance possible as AI automation scales	https://www.bankingdive.com/news/citi-severance-jobs-headcount-q2-earnings-fraser/825295/
SCHW	2026-04-16	ai	CEO Wurster: first client-facing AI assistants over chat and voice launching in June, with guardrails	https://www.wealthmanagement.com/ria-news/schwab-makes-ai-push-with-client-facing-agents-to-roll-out-in-june
SCHW	2026-05-15	ai	AI Service Assistant transcribing ~60,000 daily client interactions; AI touted as biggest growth lever at investor day	https://www.investmentnews.com/fintech/schwab-touts-ai-as-its-biggest-growth-lever-at-investor-day/266613
SCHW	2025-09-10	workforce	Small layoff round (under 40 employees) as periodic organizational adjustment; no broad layoffs planned	https://citywire.com/ria/news/charles-schwab-conducts-small-round-of-layoffs-sources/a2473755
COF	2025-03-06	ai	Launched Chat Concierge, proprietary multi-agent AI assistant for car buying, built on customized Llama	https://medium.com/capital-one-tech/driving-the-future-of-car-buying-with-agentic-ai-0be6be44db7c
COF	2025-07-07	ai	Production multi-agent AI live in the auto business; plans to scale agents across the enterprise	https://venturebeat.com/business/how-capital-one-built-production-multi-agent-ai-workflows-to-power-enterprise-use-cases
COF	2026-03-05	workforce	Cutting 1,100+ Discover employees at Riverwoods HQ; 1,748 total layoffs filed with Illinois post-merger	https://www.bankingdive.com/news/capital-one-discover-job-cuts-layoffs/813908/
BNY	2025-09-29	ai	CEO Vince unveils next-gen Eliza AI platform; 98% of employees trained, staff build bespoke agents	https://fortune.com/2025/09/29/bny-unveils-updated-eliza-platform-as-it-touts-that-majority-of-employees-use-ai-tools-daily/
BNY	2026-02-09	ai	134 "digital employees" work alongside 48,100 humans; $3.8B tech spend, 19% of revenue	https://www.cnbc.com/2026/02/09/digital-employees-ai-bootcamps-americas-oldest-bank-spends-billions-on-tech.html
BNY	2026-07-15	workforce	Headcount fell 7% YoY amid rapid AI adoption; CFO calls it "just an output," not a target	https://www.americanbanker.com/news/bny-ai-bet-is-paying-off-client-impact-is-measurable
PNC	2026-01-17	ai	Demchak: AI to add 40 pts of operating leverage 2025-30; 171 opportunities, $1.4B addressable spend	https://www.pymnts.com/earnings/2026/pnc-says-automation-added-30-points-of-operating-leverage-since-2022/
PNC	2026-06-11	ai	CEO Demchak: PNC building its own "AI factory" - own GPU compute, data centers, in-house language models	https://www.americanbanker.com/news/why-pnc-is-building-its-own-ai-factory
PNC	2026-04-23	workforce	Cutting 777 jobs at acquired FirstBank Colorado HQ this summer, citing integration overlap	https://www.bankingdive.com/news/pnc-777-job-cuts-firstbank-colorado-technology-lakewood-denver-integration/818330/
USB	2026-01-15	ai	Launched gen AI assistant on its developer portal for embedded-banking API clients	https://www.americanbanker.com/news/u-s-bank-gives-embedded-banking-clients-a-gen-ai-assistant
USB	2026-05-07	ai	Expanded AWS deal: agentic gen-AI self-service across voice, chat, SMS via Bedrock and Nova Sonic	https://press.aboutamazon.com/aws/2026/5/u-s-bank-expands-collaboration-with-aws-to-accelerate-progressive-technology-transformation-and-ai-driven-customer-experience-innovation
TFC	2026-06-01	ai	CIO Hagerman: 50+ AI use cases deployed in 2025; "digital teammate" agents to be formally hired into the org in 2026	https://www.americanbanker.com/news/the-truist-cio-is-34-on-the-most-innovative-people-in-finance-ranking
TFC	2026-01-21	workforce	Q4 hit by $63M severance; restructuring charges total $358M over two years, more expected in 2026	https://www.americanbanker.com/news/truist-settles-15-year-old-legal-saga-causing-earnings-hit
STT	2026-06-15	ai	CFO Woods: internal "agentic platform and factory" launching imminently so staff can build custom AI agents	https://stpis.com/stp-knowledge-hub/in-the-news/state-street-to-imminently-launch-internal-ai-agent-factory/
STT	2025-07-16	workforce	Eliminated ~900 jobs in Q2 2025 with a $100M charge; CEO tied the efficiency drive to AI and platform scaling	https://www.boston.com/news/business/2025/07/16/report-state-street-eliminated-900-jobs-last-quarter/
STT	2026-07-16	workforce	$1B cost-cut plan via restructuring and expanded AI; up to ~$500M severance to "flow through to headcount"	https://www.americanbanker.com/news/state-street-touts-selection-by-treasury-1b-cost-cut-plan
FITB	2026-03-11	ai	CEO Spence: AI cost savings "pretty remarkable"; 40% of code written by AI in early 2026 after Copilot rollout	https://news.bloomberglaw.com/banking-law/fifth-third-sees-pretty-remarkable-ai-ability-to-cut-costs-1
FITB	2026-07-17	ai	Built AI tools monitoring the Comerica systems conversion in real time	https://www.americanbanker.com/news/fifth-third-says-its-using-ai-to-track-comerica-conversion
FITB	2026-05-09	workforce	WARN: 502 permanent layoffs at former Comerica campus July-November, post-merger	https://www.mlive.com/news/detroit/2026/05/fifth-third-bank-to-permanently-lay-off-502-employees-at-farmington-hills-site.html
COLB	2025-09-03	ai	Deployed Cisco AI Assistant in the contact center (internally first), per bank exec; conversational AI agents next	https://blog.webex.com/customer-experience/how-ai-enhanced-customer-experience-at-umpqua-bank/
COLB	2025-06-27	workforce	Pacific Premier (merging into Columbia) filed WARN for 78 permanent Irvine HQ layoffs ahead of merger close	https://www.ocregister.com/2025/06/27/pacific-premier-bancorp-in-irvine-eyes-layoffs-as-it-merges-with-columbia/
WAL	2025-06-04	ai	Exec details feeding log data into AI models including LLMs for fraud and threat detection	https://www.americanbanker.com/news/how-truist-and-western-alliance-deploy-ai-to-fight-fraud
BOKF	2025-10-21	workforce	Q3 call: transitional payments as it realigns and rightsizes workforce toward growth areas, Q3-Q4 2025	https://finance.yahoo.com/news/bok-financial-corp-bokf-q3-230042881.html
VLY	2026-07-10	ai	COO: replacing three vendor contracts with in-house AI; tiered employee AI access; efficiency and prospecting uses	https://www.bankingdive.com/news/valley-bank-ai-strategy-roi-vendors-midsize-lenders/824927/
VLY	2025-09-04	workforce	Laid off 59 employees at Morristown NJ HQ June-August per state labor filings	https://www.njherald.com/story/news/business/2025/09/04/valley-national-bank-layoffs-nj-novartis/85969455007/
VLY	2026-02-17	workforce	WARN notice: 96 layoffs at Morristown HQ May-September, citing restructuring of operations	https://www.roi-nj.com/2026/02/17/economy/warn-update-early-february-workforce-changes-affect-hundreds-across-new-jersey/
FNB	2025-07-24	ai	Adds business deposits to AI-powered eStore Common app; CEO cites AI/automation for next-best-product recommendations	https://www.prnewswire.com/news-releases/fnb-adds-business-platform-to-estore-common-application-302513464.html
FNB	2025-09-18	ai	Hires Director of AI and Innovation and Director of Data Science to develop and execute company AI strategy	https://www.fnb-online.com/about-us/newsroom/press-releases/2025/fnb-hires-ai-and-data-science-directors-250918
FLG	2026-06-15	ai	Announces StarIQ, patent-pending enterprise gen-AI orchestration system deployed early 2026 (Claude, Llama, Mistral on AWS)	https://www.prnewswire.com/news-releases/flagstar-bank-announces-proprietary-technology-transformation-302799445.html
FLG	2025-02-28	workforce	~400 more employees laid off after Mr. Cooper cut onboarding plans from the $1.3B mortgage-servicing sale	https://www.freep.com/story/money/business/2025/02/28/flagstar-employees-jobs/80833986007/
AMP	2026-07-27	ai	Touts $1B annual tech/AI spend, embedding AI across advisor workflows, service, fraud prevention, virtual assistance	https://ir.ameriprise.com/news/news-details/2026/Ameriprise-Advances-AI-Innovation-Across-the-Advisor-and-Client-Experience-with-1B-Annual-Spend-on-Technology-and-AI-Capabilities/default.aspx
HBAN	2025-09-11	ai	CFO Wasserman: 28 gen AI use cases live, targeting 10-15% cost cuts; agentic AI "taking on jobs we used to hire people to do"	https://www.americanbanker.com/news/huntington-banks-plan-to-obtain-a-return-on-generative-ai
HBAN	2025-03-04	ai	CFO leads AI strategy; gen AI copilots in code generation, knowledge management, staff efficiency - usage doubling yearly	https://www.americanbanker.com/podcast/its-a-tremendous-priority-huntington-cfo-wasserman-on-ai
HBAN	2025-12-09	workforce	CEO Steinour: "there'll be more layoffs" at acquired Cadence Bank; 60+ jobs already cut in Veritex integration	https://www.dispatch.com/story/business/finance/2025/12/09/huntington-bancshares-will-cut-jobs-layoffs-at-cadence-bank-in-texas/87684714007/
MTB	2025-09-18	ai	CDO: Microsoft Copilot deployed to 16,000 of 22,000 employees for drafts, reports, call summaries, with data-lineage guardrails	https://www.americanbanker.com/news/how-m-t-bank-ensures-data-quality-as-it-implements-gen-ai
MTB	2026-05-28	ai	Deploys RDC.AI explainable-AI credit monitoring at enterprise scale to 1,200+ relationship managers	https://informaconnect.com/banking-tech-awards-usa/showcase-page-2026-mt-bank-rdcai/
NTRS	2025-04-15	ai	Asset Servicing goes live with Dynamics Copilot gen AI internally: case summarization and knowledge chatbot	https://www.reworked.co/digital-workplace/shaelyn-otikor-miller-on-rolling-out-dynamics-copilot-in-the-financial-industry/
NTRS	2026-07-30	workforce	Q2 2026 10-Q: $51.0M severance charges in comp expense, on top of $58.8M in 2025	https://www.stocktitan.net/sec-filings/NTRS/10-q-northern-trust-corp-quarterly-earnings-report-045dbccf392e.html
RJF	2026-01-27	ai	Launches proprietary AI operations agent Rai; 10,000+ associates already regular conversational-AI users	https://www.raymondjames.com/news-and-media/press-releases/2026/01/27/raymond-james-launches-proprietary-digital-ai-agent-to-bolster-operational-excellence
RJF	2026-07-23	ai	CEO Shoukry: AI agent companywide June 15, 6,500 users; "advisors who use AI will replace advisors who do not"	https://www.connectmoney.com/stories/ai-wont-replace-fas-but-advisors-using-ai-will-raymond-james-ceo-says/
CFG	2025-12-01	ai	"Reimagine the Bank": CiZi assistant cut app-to-call-center calls 44%; agentic AI pilots in fraud and complaints	https://www.americanbanker.com/news/inside-citizens-plan-to-reimagine-itself-with-ai
CFG	2026-07-16	ai	Targets $450M run-rate benefit by 2028; AI in card contact centers, back-office AI agents, enterprise HR chat agent	https://www.pymnts.com/news/banking/2026/citizens-bank-mobilizes-ai-to-target-450-million-operational-savings-by-2028/
CFG	2025-12-01	workforce	Amid AI adoption, "released" vendor staff (Infosys, Accenture, IBM, Cognizant) and let go legacy coders	https://www.americanbanker.com/news/inside-citizens-plan-to-reimagine-itself-with-ai
RF	2026-01-16	ai	CEO: AI expanding across Regions; 20% productivity boost expected; tech investment to offset headcount growth	https://www.pymnts.com/earnings/2026/regions-says-ai-lifts-productivity-20percent-loan-growth-cools/
KEY	2026-01-23	ai	CEO Gorman: AI-handled calls cost ~$0.25 vs $9 human; ~$1B tech/ops spend with ~$100M annual savings found	https://www.pymnts.com/news/artificial-intelligence/2026/keybank-taps-conversational-ai-cut-call-center-costs/
KEY	2025-08-01	ai	Piloting Personetics "cognitive banking" AI: enriched transactions and personalized real-time offers	https://www.americanbanker.com/news/how-keybank-is-creating-cognitive-banking-with-ai
SYF	2026-08-17	ai	Synchrony-OpenAI enterprise deal: latest models deployed internally via ChatGPT Work/Codex, plus consumer shopping plugin	https://www.cnbc.com/2026/08/17/synchrony-openai.html
SYF	2026-08-13	ai	Names first Chief AI Officer; nearly 100% of professional workforce using AI tools including Synchrony GPT since 2024	https://www.prnewswire.com/news-releases/synchrony-elevates-ai-strategy-hiring-nimrod-barak-as-chief-ai-officer-to-accelerate-innovation-302851423.html
SYF	2026-01-27	workforce	Q4 2025 profit hit by $67M restructuring charge for a voluntary early-retirement program	https://www.marketscreener.com/news/synchrony-financial-profit-hit-by-restructuring-charge-higher-costs-ce7e5bd8db81f120
FCNCA	2026-02-04	ai	CDAO: moving gen and agentic AI into production for cost efficiency and frontline service; internal AI University	https://www.cdomagazine.tech/opinion-analysis/a-financial-cdao-playbook-frameworks-behind-first-citizens-banks-data-maturity-ai-readiness-and-workforce-alignment
SOFI	2025-09-19	ai	Konecta AI chatbot: 65% faster responses, 50% less chat abandonment, higher self-serve containment	https://www.emarketer.com/content/sofi-chatbot-konecta-has-proven-value
SOFI	2026-07-29	workforce	CEO Noto: AI lets engineering squads shrink from 7 to 4 people for the same output; automating fraud and dispute work	https://www.startuphub.ai/ai-news/public-companies/2026/sofi-ceo-noto-on-ai-rate-hikes-and-customer-behavior
EWBC	NONE			
PNFP	2026-02-20	ai	Post-Synovus merger, stands up AI & automation team; internal SynovusGPT gen AI tools extend to Pinnacle	https://www.nashvillepost.com/business/meet-the-head-of-pinnacles-new-ai-team/article_34a0b66d-6e20-492f-9cba-9e3b23173ea5.html
PNFP	2025-07-25	workforce	CEO on Synovus merger: ~9% expense cut in 2027 means 500-600 redundant roles; ~5% workforce reduction planned	http://edgar.secdatabase.com/965/114036125027384/filing-main.htm
ALLY	2025-07-23	ai	Rolls out proprietary Ally.ai gen AI platform enterprise-wide to 10,000+ employees	https://media.ally.com/2025-07-23-Ally-Financial-rolls-out-proprietary-AI-platform-enterprise-wide
ALLY	2025-11-06	workforce	Cuts ~2% of workforce (second round of 2025), mostly manager level and above, with separation packages	https://www.bankingdive.com/news/ally-2-percent-workforce-cut-manager-wells-headcount-scharf-dimon-bofa-ai/804850/
WBS	2026-05-21	ai	Rolling out Microsoft Copilot at scale plus Snowflake, with data-security guardrails and AI prompt monitoring (vendor-published account)	https://www.varonis.com/blog/webster-bank-ai-adoption
FHN	2026-06-01	ai	Internal gen AI tool ChatFHN in production ~15 months for drafting, policy Q&A, RFP comparison	https://www.americanbanker.com/news/first-horizons-cio-is-36-on-the-most-innovative-people-in-finance-ranking
SF	2026-04-23	ai	CEO Kruszewski: seeing real benefit from AI investment enabling advisors, bankers, lenders; a productivity tailwind	https://www.investmentnews.com/independent-broker-dealers/stifel-ceo-not-comfortable-with-ai-replacing-advisor-judgement/266281
SF	2025-10-06	workforce	Cuts St. Louis IT workforce by close to 60 in a technology-department restructuring	https://www.stltoday.com/news/local/business/article_976dcf8b-c694-429c-82b5-0b1a9b988e8c.html
WTFC	NONE			
UMBF	2026-04-29	ai	CEO Kemper: machine learning being deployed across the whole organization to run more efficiently	https://www.roic.ai/quote/UMBF/transcripts/2026-year/1-quarter
UMBF	2025-10-03	workforce	Lays off 38 legacy Heartland corporate administrators in Dubuque post-acquisition	https://biztimes.biz/umb-bank-to-lay-off-38-htlf-employees-in-dubuque/
BPOP	2026-05-29	ai	Tech chief details deployed digital AI agent aiding meetings, employee performance, call-center answers	https://www.infobae.com/america/agencias/2026/05/29/una-colaboracion-global-clave-para-proteger-el-sector-bancario-de-casos-de-fraude-con-ia/
BPOP	2026-05-18	workforce	Confirms 25 layoffs in Mortgage Servicing division, citing efficiency and market changes	https://www.elvocero.com/economia/banco-popular-confirma-cesant-as-de-empleados/article_4d671b13-8ceb-4198-8f2d-98633a120ce4.html
ZION	2025-09-24	ai	56% of workforce uses gen AI (contracts, credit presentations); Zia knowledge base, banker copilots in build	https://www.americanbanker.com/news/2025-the-most-powerful-women-to-watch-no-3-jennifer-smith-zions-bancorporation
ZION	2026-01-20	workforce	Q4 call: FTEs below 9,300 vs 10,300 in 2019, to keep falling via AI, automation and outsourcing, per COO McLean	https://www.roic.ai/quote/0M3L.L/transcripts/2025-year/4-quarter
ONB	2025-09-08	workforce	Permanently lays off 244 at Bremer Bank service center after the $1.4B merger; ~$111M cost-savings target	https://www.startribune.com/following-merger-old-national-to-lay-off-244-from-bremer-bank-service-center-in-lake-elmo/601470256
SSB	2026-08-21	ai	CEO Brooks: formal program deploying AI across the organization to build scale	https://www.bankdirector.com/article/local-decision-making-powers-southstate/
SSB	2025-02-07	workforce	To cut about one-third of the headquarters workforce inherited from Independent Financial in McKinney TX	https://www.bizjournals.com/dallas/news/2025/02/07/southstate-mckinney-independent-layoffs-globe-life.html
CFR	2025-01-29	ai	Consumer banking/tech chief: AI gives employees knowledge to serve customers faster; cautious on customer-facing AI	https://www.bankingdive.com/news/ai-mobile-banking-apps-digital-customer-experience-frost-bank/738610/
AXP	2026-03-30	ai	Squeri shareholder letter: "hundreds" of AI use cases; 11,000 engineers on AI tools, coding times down 30%+; "a deliberate redesign of how we operate"	https://www.ciodive.com/news/amex-AI-tool-use-software/816150/
AXP	2025-09-24	ai	Gen AI live in servicing: real-time intelligence for Travel Counselors, Knowledge Assist chatbot at 98% answer accuracy	https://americanexpress.io/how-gen-ai-is-elevating-the-human-connection-at-american-express/
AXP	2026-07-24	workforce	Squeri: service-rep count "hasn't grown. Over time it will decrease from attrition" as AI portal absorbs rising volume	https://www.americanbanker.com/payments/news/amex-reports-earnings-in-line-with-analyst-expectations
CBSH	NONE			
PB	NONE			
CBC	NONE			
GBCI	NONE			
UBSI	NONE			
